wavelength_nm	intensity_arb
307.295	76.1997
307.311	14.2039
307.327	31.3707
307.343	19.9543
307.359	30.591
307.375	21.3102
307.391	26.3406
307.407	48.7957
307.423	104.399
307.439	45.4154
307.455	48.2958
307.471	19.2277
307.487	49.6762
307.503	49.9591
307.519	40.7795
307.535	62.2123
307.551	38.3106
307.567	37.9259
307.583	36.6498
307.599	35.4
307.614	34.1489
307.63	26.0831
307.646	38.4924
307.662	19.6347
307.678	74.986
307.694	101.297
307.71	50.9378
307.726	18.4046
307.742	37.0026
307.757	34.2871
307.773	33.6807
307.789	56.5288
307.805	60.0281
307.821	181.074
307.837	211.024
307.852	91.8375
307.868	21.6129
307.884	16.0571
307.9	24.707
307.916	40.4411
307.932	40.2618
307.947	39.5484
307.963	68.7424
307.979	272.581
307.995	151.927
308.011	57.0721
308.026	19.4306
308.042	18.1257
308.058	20.0656
308.074	24.8232
308.089	31.8093
308.105	66.0044
308.121	64.5504
308.137	239.461
308.152	344.682
308.168	94.3399
308.184	39.7294
308.199	44.6362
308.215	27.0528
308.231	39.3572
308.246	25.0629
308.262	14.8888
308.278	18.9427
308.294	32.472
308.309	236.825
308.325	151.653
308.341	39.1078
308.356	45.6823
308.372	25.8547
308.387	63.8382
308.403	29.2997
308.419	12.3214
308.434	35.9885
308.45	33.1607
308.466	48.7461
308.481	50.8343
308.497	181.404
308.512	272.195
308.528	48.1587
308.544	21.674
308.559	10.1116
308.575	18.2017
308.59	41.811
308.606	63.5245
308.621	184.829
308.637	103.886
308.652	25.5899
308.668	16.9481
308.684	11.3828
308.699	33.7518
308.715	180.044
308.73	214.708
308.746	51.5243
308.761	26.6218
308.777	13.6928
308.792	18.2292
308.808	33.4805
308.823	25.0232
308.839	12.3371
308.854	20.1928
308.87	26.8594
308.885	66.4995
308.9	22.0772
308.916	49.3331
308.931	49.7923
308.947	179.883
308.962	492.192
308.978	293.781
308.993	87.0661
309.008	124.655
309.024	387.792
309.039	156.494
309.055	32.2487
309.07	27.7755
309.085	77.9988
309.101	265.731
309.116	267.375
309.132	175.331
309.147	28.6277
309.162	28.7473
309.178	51.6455
309.193	42.3935
309.208	59.0572
309.224	222.667
309.239	103.908
309.254	160.4
309.27	208.902
309.285	62.1924
309.3	19.3238
309.316	37.6438
309.331	74.9585
309.346	74.3578
309.361	105.48
309.377	39.125
309.392	14.5117
309.407	34.3532
309.422	23.844
309.438	112.533
309.453	155.685
309.468	73.5139
309.483	22.1781
309.499	30.1847
309.514	144.856
309.529	109.395
309.544	38.6099
309.56	27.9178
309.575	41.5752
309.59	227.656
309.605	223.18
309.62	151.129
