system_id	region_id	source_line_id	air_wavelength_nm	einstein_a_s-1	upper_e_v_cm-1	upper_e_j_cm-1	upper_j	upper_v	lower_v	branch
n2-second-positive	n2-sps-380	163027	382.627088497	3389223.74102	33572.1225	7285.2055	64	2	7	P2
n2-second-positive	n2-sps-380	15986	382.630009069	3899.75931599	35447.3395	3602.254	46	3	9	QR12
n2-second-positive	n2-sps-380	21457	382.635089068	375.0209957	31630.588	14931.8995	92	1	4	SR21
n2-second-positive	n2-sps-380	8929	382.636252948	2487229.08005	37230.366	12707.2455	89	4	2	R1
n2-second-positive	n2-sps-380	179576	382.640623052	1151.35266806	31630.588	8317.751	67	1	4	QP32
n2-second-positive	n2-sps-380	120689	382.64190409	302.989365285	37230.366	12709.665	87	4	2	RQ32
n2-second-positive	n2-sps-380	25308	382.642621475	7693.5056248	35447.3395	1977.251	33	3	9	SR21
n2-second-positive	n2-sps-380	92514	382.643243699	2895.46880518	37230.366	1048.627	24	4	1	RQ21
n2-second-positive	n2-sps-380	60409	382.64486149	3327851.26132	33572.1225	4684.819	50	2	6	R3
n2-second-positive	n2-sps-380	69741	382.645827779	1301.08006463	33572.1225	5811.4895	58	2	7	Q1
n2-second-positive	n2-sps-380	2613	382.647006366	2682164.6407	31630.588	6944.335	63	1	4	R1
n2-second-positive	n2-sps-380	45888	382.648309408	5478.60133437	37230.366	1816.1735	32	4	1	QR23
n2-second-positive	n2-sps-380	49324	382.650468963	371.176500882	31630.588	14933.4375	91	1	4	SR32
n2-second-positive	n2-sps-380	190828	382.651757387	3388897.17983	33572.1225	7287.3125	63	2	7	P3
n2-second-positive	n2-sps-380	43885	382.65379253	3819.55525509	35447.3395	3605.896	45	3	9	QR23
n2-second-positive	n2-sps-380	36870	382.654941883	2483880.99464	37230.366	12708.7745	88	4	2	R2
n2-second-positive	n2-sps-380	149690	382.658097147	433.963805807	29635.5885	10995.514	78	0	1	QP21
n2-second-positive	n2-sps-380	139117	382.65992005	2403133.26587	37230.366	2789.1665	41	4	1	P1
n2-second-positive	n2-sps-380	30591	382.660249492	2681476.85586	31630.588	6947.321	62	1	4	R2
n2-second-positive	n2-sps-380	67700	382.66114997	798.600194586	31630.588	8312.8745	69	1	4	Q1
