element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	2	"200.6754"	"0.0007"	"200.6759"	"0.0003"	"5700"	""		"13.677118"	"19.853452"	"3s2.3p2.(3P).3d"	"4F"	"5/2"	"3s2.3p2.(3P<0>).4f"	"2[3]*"	"7/2"	6	8		""	"L5883"	
Cr	1	"200.688"	""	"200.688182"	"0.000013"	"6:"	""		"0.00000000"	"6.1759542"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(4D).4p"	"t 5P*"	"3"	7	7		""	"L9365"	
Cr	2	"200.69358"	"0.00004"	"200.693560"	"0.000013"	"15"	""		"3.10490646"	"9.2806952"	"3d5"	"b 4D"	"3/2"	"3d4.(3D).4p"	"y 2P*"	"1/2"	4	2		""	"L18847"	
Ne	2	"200.7009"	"0.0010"	"200.700899"	"0.000009"	"160"	""		"31.51244241"	"37.6880053"	"2s2.2p4.(3P).3p"	"2P*"	"3/2"	"2s2.2p4.(3P).5s"	"2P"	"3/2"	4	4		""	"L1406"	
Fe	2	"200.70128"	"0.00003"	"200.701387"	"0.000010"	"16000"	"2.0e+07"	D+	"2.82812245"	"9.0036704"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3D).4p"	"w 4D*"	"5/2"	8	6		"T6892c83"	"L18349c148"	
Ar	2	"200.7178"	"0.0006"	"200.716909"	"0.000006"	"1"	""		"19.762261075"	"25.93733151"	"3s2.3p4.(3P).4p"	"2D*"	"3/2"	"3s2.3p4.(3P).6d"	"4P"	"5/2"	4	6		""	"L14821"	
Fe	1	"200.7179"	"0.0010"	"200.717090"	"0.000006"	"4d"	""		"0.0000000"	"6.17506487"	"3d6.4s2"	"a 5D"	"4"	"3d6.(5D).4s (6D).5p"	"n 7D*"	"3"	9	7		""	"L11631c80"	
Fe	2	"200.71838"	"0.00005"	"200.718400"	"0.000010"	"1200"	"4.2e+06"	D	"7.12826481"	"13.3032894"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2F1).4s.4p.(3P*)"	"4G*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Cr	2	"200.719091"	"0.000017"	"200.719099"	"0.000007"	"37"	""		"2.54317169"	"8.71817474"	"3d5"	"a 4G"	"5/2"	"3d4.(3G).4p"	"x 4G*"	"5/2"	6	6		""	"L18847"	
Fe	1	"200.72193"	"0.00006"	"200.721886"	"0.000010"	"22"	""		"0.85899575"	"7.03391308"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D).6p"	"5D*"	"4"	11	9		""	"L11631"	
Cr	2	"200.72271"	"0.00009"	"200.722698"	"0.000017"	"12"	""		"4.74482189"	"10.9197142"	"3d4.(3D).4s"	"c 4D"	"7/2"	"3d3.(4F).4s.4p.(3P*)"	"u 4F*"	"9/2"	8	10		""	"L18847"	
Cr	2	"200.74215"	"0.00008"	"200.742194"	"0.000007"	"6"	""		"2.54388199"	"8.71817474"	"3d5"	"a 4G"	"7/2"	"3d4.(3G).4p"	"x 4G*"	"5/2"	8	6		""	"L18847"	
Fe	2	"200.74417"	"0.00003"	"200.744193"	"0.000010"	"9000"	"8.e+06"	D+	"1.67061856"	"7.8448498"	"3d7"	"a 4P"	"5/2"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Fe	2	"200.77084"	"0.00002"	"200.770822"	"0.000010"	"13000"	"1.6e+07"	D+	"1.69526130"	"7.8686738"	"3d7"	"a 4P"	"3/2"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	4	4		"T6892c83"	"L18349c139"	
S	2	"200.7758"	"0.0009"	"200.77586"	"0.00020"	"1700"	""		"13.677118"	"19.850376"	"3s2.3p2.(3P).3d"	"4F"	"5/2"	"3s2.3p2.(3P<0>).4f"	"2[3]*"	"5/2"	6	6		""	"L5883"	
Ti	2	"200.778"	""	"200.777972"	"0.000025"	"0:"	""		"4.00165030"	"10.1748430"	"3d3"	"d 2D1"	"3/2"	"3d2.(3F).4f"	"2P*"	"1/2"	4	2		""	"L5432"	
Cr	2	"200.7858"	"0.0003"	"200.785775"	"0.000009"	"4"	""		"8.35074083"	"14.52369362"	"3d4.(3H).4p"	"y 4G*"	"9/2"	"3d4.(5D).6d"	"4G"	"9/2"	10	10		""	"L18847"	
Mn	2	"200.790"	"0.0015"	"200.78998"	"0.00012"	"3"	""		"4.4974797"	"10.670303"	"3d5.(4P).4s"	"b 3P"	"2"	"3d5.(a 2F).4p"	"y 1F*"	"3"	5	7		""	"L562"	
Fe	2	"200.79467"	"0.00006"	"200.794653"	"0.000010"	"1000"	""		"7.11806748"	"13.2907474"	"3d5.4s2"	"d 4P"	"5/2"	"3d6.(5D).6p"	"6P*"	"7/2"	6	8		""	"L18349c139"	
Cr	2	"200.798880"	"0.000007"	"200.798888"	"0.000009"	"230"	""		"8.21476635"	"14.38731608"	"3d3.4s2"	"d 4P"	"5/2"	"3d3.(4P).4s.4p.(1P*)"	"4P*"	"5/2"	6	6		""	"L18847"	
Fe	1	"200.8233"	"0.00024"	"200.822913"	"0.000010"	"2"	""		"0.85899575"	"7.03080715"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.4s.(6D).6p"	"5F*"	"5"	11	11		""	"L11631c80"	
S	2	"200.8375"	"0.0007"	"200.8368"	"0.0003"	"2500"	""		"13.701330"	"19.872714"	"3s2.3p2.(3P).3d"	"4F"	"7/2"	"3s2.3p2.(3P<1>).4f"	"2[3]*"	"7/2"	8	8		""	"L5883"	
Fe	1	"200.8478"	"0.00024"	"200.847440"	"0.000007"	"(3)"	""		"0.91460217"	"7.08565999"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.4s.(6D<7/2>).4f"	"2[7/2]*"	"3"	9	7		""	"L11631c81"	
Fe	1	"200.8505"	"0.00024"	"200.849817"	"0.000007"	"0d?"	""		"0.91460217"	"7.08558697"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.4s.(6D<7/2>).4f"	"2[7/2]*"	"4"	9	9		""	"L11631c80"	
Fe	1	"200.8552"	"0.00024"	"200.855181"	"0.000007"	"1"	""		"0.91460217"	"7.08542219"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.4s.(6D<7/2>).4f"	"2[11/2]*"	"5"	9	11		""	"L11631c80"	
Fe	2	"200.8552"	"0.0005"	"200.855734"	"0.000013"	"900bl(Fe I)"	""		"5.57055201"	"11.7413550"	"3d6.(1F).4s"	"c 2F"	"5/2"	"3d6.(3F1).4p"	"2D*"	"5/2"	6	6		""	"L18349c143"	
Fe	2	"200.9031"	"0.0005"	"200.902956"	"0.000013"	"700bl(Fe I)"	""		"2.77846330"	"8.9478161"	"3d6.(3P2).4s"	"b 4P"	"1/2"	"3d6.(3D).4p"	"w 4F*"	"3/2"	2	4		""	"L18349c142"	
